CustomerID,Name,Email,Phone,Address,Country
1,Cathy Hernandez,danielleroberts@example.com,623-730-3964x21333,"4973 Cole Station Apt. 597
Joshuabury, VT 55001",Timor-Leste
2,Krista Bailey,keyjavier@example.org,433.509.8040,"32633 Ryan Wall Suite 974
New Jasonview, DE 04526",Sweden
3,Juan Mckinney,stephaniecooley@example.org,(766)750-7930x36098,"712 Joshua Landing
North Derrickburgh, AZ 82081",Myanmar
4,Brianna Edwards,rlawson@example.com,(485)871-1807,"69817 Stephen Tunnel
Christopherburgh, VA 43027",Colombia
5,Cole Yoder,shaun98@example.org,452-317-8459,"96661 Patterson Mill
Danielmouth, VI 58397",Lithuania
6,Catherine Sanchez,rvaldez@example.org,810.225.5674,"1974 Richards Brooks
Port Johnmouth, NC 73123",Cook Islands
7,Dr. Patricia Graves,griffinsharon@example.org,431-247-6751x2529,"11061 Russell Crossroad
Andersonville, MS 40712",Argentina
8,Michelle Patterson,mball@example.net,(357)787-3078,"PSC 7034, Box 4624
APO AA 06682",Uruguay
9,William Bowen,vwheeler@example.org,5988920851,"635 Mcbride Gardens
Kyleside, NC 60749",Nauru
10,Bianca Stewart,tyler73@example.com,4179247378,"70432 Gary Roads Suite 931
Woodwardview, AR 75997",Bulgaria
11,Ashley Morris,wguerra@example.com,3222537480,"6356 Joshua Extension
West Luisfort, KY 16382",Mauritania
12,Kathleen Smith,zcummings@example.net,(381)991-9120,"940 Atkins Fields
South Keith, ND 56760",Zambia
13,Lisa Brown,lance39@example.com,4458424554,"09804 Karen Drives Suite 865
North Joshua, NH 64132",Burkina Faso
14,Gerald Powers,ashleysweeney@example.net,+1-494-987-3163x529,"4139 Caldwell Ferry
Sarahshire, DC 45396",Somalia
15,Charlene Hunter,anthonyacosta@example.org,761-989-6850x6484,"505 David Vista
Donaldfort, NY 94045",Botswana
16,Susan Swanson,sharonlewis@example.com,+1-414-701-1423,"PSC 7299, Box 3293
APO AP 48231",New Zealand
17,Martha Bowers,xwatkins@example.com,(388)673-8458x581,"71661 Jackson Bypass Suite 967
West Laura, NY 41137",Congo
18,Christina Faulkner,erodriguez@example.org,(294)546-5022x2533,"5762 Kimberly Drives
Stephaniefort, TX 61347",Belgium
19,Jennifer Stevens,gallagherrobin@example.net,(342)522-9263x542,"USCGC Bell
FPO AA 93048",Nepal
20,Bradley Turner,jaredhayes@example.org,579.594.2858x4904,"78737 Elizabeth Mountains
Ernestfurt, CT 44675",Honduras
